"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"58","707","BGKP 1997 Saab 900 Se (Black)","P 1","11","29.720","259.2","1:08:55.343","12:00:32.422","62","48","19","","3544524","0","","C"
"59","808","BGKP 1999 Saab 9-3 (White)","P 1","11","5:20.629","24.0","1:09:37.987","12:01:15.066","187","51","19","","4765919","0","","C"
"60","808","BGKP 1999 Saab 9-3 (White)","P 2","11","28.475","270.6","1:10:06.462","12:01:43.541","553","57","19","","4765919","0","","C"
"61","808","BGKP 1999 Saab 9-3 (White)","P 3","11","7.134","1079.9","1:10:13.596","12:01:50.675","32","42","19","","4765919","0","","C"
"62","707","BGKP 1997 Saab 900 Se (Black)","P 2","11","2:39.028","48.4","1:11:34.371","12:03:11.450","44","54","19","","3544524","0","","C"
"63","808","BGKP 1999 Saab 9-3 (White)","P 4","11","1:25.491","90.1","1:11:39.087","12:03:16.166","8","57","19","","4765919","0","","C"
"64","707","BGKP 1997 Saab 900 Se (Black)","P 3","11","9.538","807.7","1:11:43.909","12:03:20.988","87","62","19","","3544524","0","","C"
"65","808","BGKP 1999 Saab 9-3 (White)","P 5","11","11.468","671.8","1:11:50.555","12:03:27.634","15","51","19","","4765919","0","","C"
"66","707","BGKP 1997 Saab 900 Se (Black)","P 4","11","6.788","1134.9","1:11:50.697","12:03:27.776","5","52","19","","3544524","0","","C"
"67","707","BGKP 1997 Saab 900 Se (Black)","P 5","11","33.448","230.3","1:12:24.145","12:04:01.224","37","54","19","","3544524","0","","C"
